RA_ICRS,DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,e_BPmag,e_RPmag,BP-RP,EDR3Name,_x,_y,e_BP-RP
122.13763764364,-65.49853205019,2.5017,0.1162,12.847,-5.218,0.148,11.74,0.13,18.3996,0.003173,0.058245,0.008536,2.77919,Gaia EDR3 5274768495792155136,-5.032106223317383,1.096138582181176,0.05886716674853649
121.6844705636,-65.55594962231,2.4885,0.0221,12.861,-5.045,0.03,11.83,0.028,15.2046,0.003401,0.008546,0.00652,1.52556,Gaia EDR3 5274808254306747648,-5.0824813766427885,0.9061255646767117,0.010749163502338217
121.27831270884,-65.3295196013,2.5659,0.0641,13.31,-5.733,0.08,12.011,0.079,17.4828,0.002943,0.019637,0.005192,2.5056,Gaia EDR3 5274827044784825600,-4.850974819384187,0.7442421765214949,0.020311785568974484
116.41634261655,-65.26401847477,2.542,0.0211,12.222,-3.244,0.028,11.783,0.027,15.1835,0.002945,0.005077,0.004678,1.52771,Gaia EDR3 5275384089162428288,-4.805912565428781,-1.2901288249755813,0.006903594208816158
116.41046224791,-65.0039959691,2.0102,0.0115,11.308,-4.562,0.015,10.346,0.015,13.4503,0.002768,0.002973,0.003815,0.896758,Gaia EDR3 5275403777291320832,-4.546280131060114,-1.3051498969696949,0.0048366263035301785
119.84291545691,-65.49064862861,2.2237,0.1683,13.275,-5.477,0.209,12.093,0.18,18.9018,0.003385,0.064674,0.011128,2.98246,Gaia EDR3 5275550729596408064,-5.002258518878097,0.14361636653258505,0.06562437550179048
120.76113799285,-65.31462336913,2.5197,0.0734,13.657,-5.896,0.085,12.319,0.096,16.9148,0.003204,0.021263,0.004958,2.56099,Gaia EDR3 5275556678128423680,-4.831003729766301,0.5284732291943098,0.02183339032308084
121.51270526117,-64.99295567777,2.3149,0.092,12.302,-4.976,0.143,11.251,0.122,17.9632,0.002981,0.037179,0.006207,2.62688,Gaia EDR3 5275591274086065152,-4.517430629144098,0.8527707368137045,0.037693565631285134
121.51601039657,-64.9918404363,2.1891,0.1319,12.193,-5.262,0.199,10.999,0.174,18.6478,0.003353,0.063377,0.007843,2.87129,Gaia EDR3 5275591278385697408,-4.51635937036517,0.8542038785922238,0.06386044768086112
120.76070153741,-64.87135386038,2.4051,0.0135,12.73,-5.753,0.017,11.356,0.019,13.9831,0.002878,0.004055,0.004377,1.14861,Gaia EDR3 5275605262798101888,-4.387808577948975,0.5370556953723892,0.005966670260706552
