NAME                                          c_x        c_y       r_cl     z_mean      z_MAP   z_median     z_mode     z_16th     z_84th      z_std  z_R^2     a_mean      a_MAP   a_median     a_mode     a_16th     a_84th      a_std  a_R^2     E_mean      E_MAP   E_median     E_mode     E_16th     E_84th      E_std  E_R^2     d_mean      d_MAP   d_median     d_mode     d_16th     d_84th      d_std  d_R^2     M_mean      M_MAP   M_median     M_mode     M_16th     M_84th      M_std  M_R^2     b_mean      b_MAP   b_median     b_mode     b_16th     b_84th      b_std  b_R^2         Nt
b_fr_05/NGC2516_1000                     0.021921  -0.041758   1.394968   0.0163674  0.0164605  0.0163507  0.0164425    0.01618  0.0165207 0.000385549   0.26    7.91216    7.91503    7.91412     7.9153    7.90629     7.9175  0.0126839   0.53   0.149346   0.148019   0.148364   0.145303   0.137479   0.162301   0.011637   0.99    8.10687    8.12111    8.10701    8.10716    8.08349    8.13025  0.0242163   0.99    2874.33     2953.7    2864.17    2847.92    2715.09    3031.14    166.663   0.99   0.258759   0.279312   0.260826   0.263545   0.211786   0.292953   0.045389   0.97   3.10E+00
b_fr_05/NGC2516_1100                     0.017195  -0.041884   1.397374   0.0220908  0.0181722  0.0266004  0.0268724  0.0160439  0.0269587 0.00487809   0.76    8.04413    8.08358    8.03416    8.03069    8.02771    8.08324  0.0343597   0.77   0.126767    0.11319   0.127928   0.138402    0.11004   0.144346  0.0158753   0.98    8.06345    7.92307    8.13006     8.2082      7.878    8.22016   0.152095   0.82    3247.73    2796.43    3266.81    2834.59    2780.75    3718.61    436.183   0.92    0.26471   0.185281   0.270833   0.304006   0.191055   0.327325  0.0644413   0.98   3.10E+00
b_fr_05/NGC2516_1200                     0.017195  -0.041884   1.397374    0.017439  0.0116474  0.0162815  0.0121948  0.0117766  0.0245448 0.00582199   0.82    7.92179    7.82619    7.91843    7.83057     7.8259     8.0309  0.0954686   0.81   0.165643   0.212918   0.148008   0.213047   0.122131   0.214503   0.042871   0.86    7.99508    7.97569    7.97509    7.96513     7.9463     8.0566  0.0559858   0.93    2838.57    2561.11    2692.37    2569.42    2476.31    3351.61    440.212   0.89   0.131361   0.129049   0.121068    0.11515  0.0953237   0.170669  0.0455727   0.92   3.10E+00
b_fr_05/NGC2516_1300                     0.011166  -0.032031   1.664091    0.028305  0.0290051  0.0289721  0.0292262  0.0273212  0.0294172 0.00182581    0.6    8.02966    7.98219    8.02795    8.02816    7.98297    8.07186  0.0388605   0.82   0.093042  0.0994937  0.0959295  0.0782271  0.0764457   0.108164   0.015008   0.93    8.07388    8.09797    8.07567     8.0529    8.04496    8.10602  0.0359784   0.91    3681.29    3485.91    3652.19    3566.07    3461.39    3925.43    238.158   0.98   0.189777   0.181763    0.18107   0.172275   0.134873   0.255531  0.0536045   0.96   3.10E+00
b_fr_05/NGC2516_1400                     0.010736  -0.036091   1.667796   0.0277663  0.0294542  0.0265838  0.0263491  0.0262472  0.0294106 0.00158218   0.73    8.06329    8.02594     8.0813    8.02575    8.02541     8.1029  0.0370293   0.81    0.08603  0.0757405  0.0889186  0.0743955  0.0732889  0.0982782  0.0118115   0.91    8.04823      8.049    8.04788    8.04804    8.03546    8.05982  0.0173125   0.85    3977.65    4111.63    4004.03    4183.99    3687.23    4246.59    263.689   0.95   0.224336   0.205645    0.22193   0.219771   0.205272   0.245939  0.0225562   0.97   3.10E+00
b_fr_05/NGC2516_1450                     0.010000  -0.030000   1.696985   0.0282889  0.0288496  0.0288238  0.0288815  0.0286371  0.0290114 0.00218462   0.33    8.06326    8.06877    8.06778    8.07298    8.05678    8.07376  0.0248391   0.65   0.093621  0.0977273   0.093441   0.095466  0.0835556  0.0995386  0.0118691   0.75    8.07103     8.0659    8.07138    8.06222    8.05404     8.0948  0.0285901   0.78    3787.55    3663.25    3780.53    3791.63    3629.57    3923.39     179.47   0.93   0.223911   0.206858   0.219488   0.215805   0.201158   0.255898   0.027097   0.95   3.10E+00
b_fr_05/NGC2516_1500                     0.021972  -0.026214   1.824702   0.0275534  0.0292778  0.0292833  0.0292618   0.025957  0.0295363 0.00437342   0.49     8.0271     8.0255    8.02564    8.02641    7.99991    8.07128   0.055811   0.85  0.0974347  0.0702732  0.0783261  0.0729592  0.0690927   0.124806  0.0365082   0.78    8.08093    8.06256     8.0688    8.06397    8.05458    8.11531   0.039151   0.93     3912.8     3730.3     3815.8    3748.63    3677.52    4215.37    263.267   0.93   0.236608   0.229425   0.236966   0.239334   0.209908   0.259182  0.0285034   0.98   3.10E+00
b_fr_05/NGC2516_1600                     0.009795  -0.033293   1.838554   0.0232808  0.0221412  0.0224946  0.0224827  0.0221674  0.0257955 0.00213418   0.79    8.07891    8.14917    8.12683    8.14505    7.98573    8.15039  0.0761978   0.77    0.13114   0.116448    0.12436   0.117697   0.111436   0.154814   0.021177   0.93    8.07424    8.04326    8.05444    8.04357     8.0253    8.12806  0.0520233   0.93    4185.51    3956.03    4084.53    3989.45    3915.21    4535.79    310.012   0.95   0.285789    0.31691   0.297171   0.313656   0.239673   0.322864  0.0399237   0.94   3.10E+00
b_fr_05/NGC2516_1700                     0.016981  -0.035368   1.950937   0.0287401  0.0287309  0.0288539  0.0289503  0.0286779  0.0290204 0.00117237   0.14    8.01297    8.02718    8.02653    8.02718    7.98279    8.02758  0.0242812   0.65   0.116986    0.11469   0.114763   0.113815   0.110523   0.121704  0.0102961   0.65    8.16287    8.17662    8.16589    8.16892    8.14518    8.17469  0.0163419   0.93    4670.99    4954.24    4764.49     4947.0    4145.24    5050.72    399.613   0.92    0.25488   0.278509   0.256614   0.278989   0.214592   0.285084   0.035361   0.97   3.10E+00
b_fr_05/NGC2516_1800                     0.023279  -0.026860   1.943485   0.0219132  0.0298086  0.0208776  0.0207588  0.0206899  0.0210742  0.0029188   0.42     8.0751    8.00053    8.08497    8.08486    8.08368    8.08619  0.0283787   0.42   0.145393   0.125025   0.148632   0.149556   0.133108   0.152971  0.0105967   0.77    8.15342    8.24673    8.14124    8.13909    8.13208    8.15376  0.0390248   0.62    4657.24     5683.3    4517.17    4448.89    4326.65    4947.56    440.046   0.79   0.318421   0.403296   0.308603   0.294456   0.271373   0.379603  0.0543114   0.94   3.10E+00
